Thu Sep 14 20:55:59 2023    ./out/stats.dmp

         68059 function calls (67973 primitive calls) in 1.797 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:90(RLock)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\logger.py:23(_squeeze_time)
       12    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
       60    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:581(_check_estimator_name)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:245(__exit__)
       72    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\cluster\_dbscan.py:320(__init__)
       48    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:277(isfunction)
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\validation.py:1870(_get_feature_names)
       72    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:413(_check_algorithm_metric)
       96    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
      120    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      180    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       36    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\queue.py:209(_qsize)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:271(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:279(_is_owned)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\parallel.py:248(unregister)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\shape_base.py:218(_vhstack_dispatcher)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\neighbors\_base.py:391(__init__)
       24    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\inspect.py:632(_is_wrapper)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\uuid.py:333(hex)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\sklearn\utils\parallel.py:12(_with_config)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\site-packages\joblib\_parallel_backends.py:70(configure)
       12    0.000    0.000    0.000    0.000 E:\Users\Kind1\AppData\Local\Programs\Python\Python310\lib\threading.py:1423(current_thread)
       60    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
